,borough,data_as_of,encoded_poly_line,encoded_poly_line_lvls,id,link_id,link_name,link_points,owner,speed,status,transcom_id,travel_time
30,Brooklyn,2019-07-04T22:48:12.000,ue_wFbfwbMyBJyAX_Bp@oBhBiD\\|FmGxL_BzBuAbAoBv@mBNiBMiCaAuCcCuD_EmMiM{V{Wq~@_aAmb@wc@qB_BkDsA{BQkDN}FrBqX\\|NsFvC_FnCuAn@,BBBBBBBBBBBBBBBBBBBBBBBBBBBB,257,4616318,GOW N 7TH AVENUE - 9TH STREET,"40.6333906,-74.01586 40.634,-74.015921 40.63445,-74.01605 40.6349304,-74.0163 40.6354904,-74.016831 40.6363404,-74.0181 40.6376906,-74.020311 40.63817,-74.02093 40.6386004,-74.02127 40.6391604,-74.02155 40.63971,-74.02163 40.6402406,-74.021561 40.6409304,",NYC_DOT_LIC,29.20,0,4616318,432
31,Queens,2019-07-04T22:48:12.000,iczwFlqsaMvBtEtBbEnChEvBfBxCdCnCjAjGtD`AZpBbAjAb@dARdBLnACz@MtBo@,BBBBBBBBBBBBBBBB,424,4616300,VWE N MP8.64 (Exit 13 Northern Blvd) - Whitestone Expwy Exit 14 (Linden Pl),"40.77125,-73.833351 40.77065,-73.834421 40.77006,-73.8354 40.769341,-73.83641 40.76874,-73.836931 40.7679705,-73.837601 40.7672504,-73.83798 40.7659105,-73.83889 40.76558,-73.839031 40.7650104,-73.83937 40.7646304,-73.83955 40.764281,-73.83965 40.76377,-7",NYC_DOT_LIC,48.46,0,4616300,110
32,Queens,2019-07-04T22:48:12.000,avewFpljaM\\|@hR???fDOlFu@dI??D\\|P??BhSQ~@_@h@??uDdDcAf@}ANiEQkIG??{GXeC^gBj@EH??qQlGiSvHuC\\|@u]bNwd@jTwQfI{K`GkPxHqPlG,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,171,4616357,Belt Pkwy W JFK Expressway - VWE N Jamaica Ave,"40.66673,-73.78649 40.66642,-73.78958 40.66642,-73.78958 40.66642,-73.790421 40.6665006,-73.79161 40.666771,-73.793241 40.666771,-73.793241 40.6667404,-73.796111 40.6667404,-73.796111 40.6667205,-73.799361 40.6668105,-73.799681 40.6669706,-73.79989 40.666",NYC_DOT_LIC,8.69,0,4616357,1350
33,Staten Island,2019-07-04T22:48:12.000,gv~vF~rpcMhF@bE[bDWbD@vCb@\\|D~@dCf@`Cv@jCjA~CzAhDfCrDjDfJ~IhDhDxB~AlDlBdEdArDp@jC\\|BjGvEtBjArCC\\|BmAtA_Cj@gDXgI^mCnBkD`AiC,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,350,4616196,MLK S - SIE E WALKER STREET - WOOLEY AVENUE,"40.63092,-74.14592 40.62975,-74.14593 40.62877,-74.14579 40.6279506,-74.145671 40.62713,-74.145681 40.62637,-74.14586 40.6254205,-74.14618 40.6247506,-74.146381 40.6241006,-74.146661 40.6234004,-74.14704 40.6226006,-74.147501 40.6217506,-74.148181 40.6208",NYC_DOT_LIC,0.00,-101,4616196,0
34,Bronx,2019-07-04T22:48:12.000,ytexFj}vaMpAqGbBgHrAgGl@sF?oEa@cGoDu\e@cGAsEF}FMkBe@{Ci@}AyN}XqEcLyA}B_As@uA}@{AWiBEaBRoEdA}DZ,BBBBBBBBBBBBBBBBBBBBBBBB,142,4616261,BE S Griswold - Castle Hill Avenue,"40.83037,-73.85062 40.82996,-73.849251 40.8294605,-73.847771 40.8290406,-73.84645 40.8288104,-73.84523 40.8288104,-73.844191 40.82898,-73.842891 40.8298604,-73.838141 40.83005,-73.836841 40.83006,-73.83578 40.8300205,-73.834511 40.8300906,-73.833971 40.83",NYC_DOT_LIC,44.73,0,4616261,166
35,Staten Island,2019-07-04T22:48:12.000,adjvF\\|badMs@iYaBsPcEB_\\|@vDyLWeHg@mUeF}L}EuIaF,BBBBBBBBBB,433,4616215,WSE N TYRELLAN AVENUE - BLOOMINGDALE ROAD,"40.52561,-74.23039 40.5258705,-74.22618 40.5263604,-74.22336 40.52734,-74.22338 40.5371,-74.2243 40.53931,-74.22418 40.5407805,-74.223981 40.54437,-74.22283 40.5466005,-74.22172 40.54831,-74.22059",NYC_DOT_LIC,44.73,0,4616215,168
36,Queens,2019-07-04T22:48:12.000,gmxwF\\|xtaMpFiCbAUdBOhBDrI\tAGbM{A`BYrBm@hSwLpDyBpBw@\\|A_@jBMrCLbEjA~BdBjCvBf@XnAlAbBhAvB\\|@xAZdBRtABjCItKoBpGmAvTcAfCc@\\|EeBt`@oP,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,428,4616241,VWE S MP8.65 (Exit 13 Northern Blvd) - MP6.39 (Exit 11 Jewel Ave),"40.7626006,-73.839671 40.7613906,-73.83898 40.7610504,-73.83887 40.7605406,-73.83879 40.76001,-73.838821 40.75831,-73.83897 40.75788,-73.8389340.75562,-73.83847 40.75513,-73.83834 40.75455,-73.83811 40.7513,-73.835911 40.75041,-73.8353 40.7498406,-73.8350",NYC_DOT_LIC,48.46,0,4616241,111
37,Brooklyn,2019-07-04T22:48:12.000,oz{vFffybMuQuNmZsVsFyC}D}AeLmDeO_E{JkCaEg@,BBBBBBBBB,258,4616220,GOW N 92ND STREET - 7TH AVENUE,"40.6162405,-74.02612 40.61923,-74.02361 40.62362,-74.019831 40.6248406,-74.019061 40.62579,-74.01859 40.6279004,-74.017721 40.63049,-74.01676 40.63239,-74.016061 40.63336,-74.01586",NYC_DOT_LIC,29.20,0,4616220,147
38,Queens,2019-07-04T22:48:12.000,olxwFdwtaMpBu@jAg@\\|@Yr@MdAGhA@dH\~@E\\|@GbMoAbCa@`Be@\\|Aq@`EaCvMeI\\|BqAbAa@vA_@dAMhAGjA@jAL\\|@N\\|Aj@tBhA~BlBnFnEp@^xAr@vCh@jDJ~AIdAO`GiApFgAvCc@~Qy@rC[nBi@lCeAjKmEpNcGjEkB,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,423,4616299,VWE N MP6.39 (Exit 11 Jewel Ave) - MP8.65 (Exit 13 Northern Blvd),"40.7624804,-73.839391 40.76191,-73.839121 40.76153,-73.83892 40.76122,-73.83879 40.7609604,-73.838721 40.76061,-73.838681 40.76024,-73.83869 40.7587705,-73.83884 40.75845,-73.838811 40.7581404,-73.838771 40.7558805,-73.838371 40.75522,-73.8382 40.75473,-7",NYC_DOT_LIC,48.46,0,4616299,110
39,Queens,2019-07-04T22:48:12.000,kdzwF`rsaMdFdKlEdGzIvHzHdEvAv@rBz@bATjAJdBAhAKjCu@,BBBBBBBBBBBB,453,4616239,Whitestone Expwy S Exit 14 (Linden Pl) - VWE S MP8.65 (Exit 13 Northern Blvd),"40.7714206,-73.83345 40.7702704,-73.8354 40.76924,-73.836711 40.7675005,-73.838271 40.76592,-73.839261 40.7654804,-73.83954 40.7649004,-73.839841 40.76456,-73.83995 40.76418,-73.84001 40.7636705,-73.84 40.7633,-73.839941 40.7626006,-73.839671",NYC_DOT_LIC,48.46,0,4616239,114
